RE:FORM  요구사항 정의서,,,,,,,,,
구분,요구사항 ID,대분류,중분류,소분류,요구사항명,요구사항 상세,비고,,
기능,REQ-SRC-004,검색,AI 검색,의미 검색,"PGVector 의미 기반
유사 상품 검색","- 정확한 키워드 없이 의미가 유사한 게시물 탐색
- 사용자 검색어를 Spring AI Embedding으로 벡터화 → PGVector 유사도 검색과 지역 필터를 결합하여 결과 반환
- 오타 및 유사 표현 처리",고도화,,
기능,REQ-AI-001,AI,게시글 보조,작성 도우미,판매글 자동 작성 보조,"- 유니폼 이미지 삽입 시 Spring AI ChatClient가 판매글 제목, 본문, 태그 추천
- 금칙어·개인정보 후처리 적용",* 결과는 Structured Output DTO로 파싱 * ,,
기능,REQ-AI-002,AI,위험 탐지,게시글 탐지,판매글 위험 거래 탐지,"- 판매글 등록·수정 시 선입금 유도, 외부 결제 유도, 개인정보 요청, 외부 연락처 유도 표현 탐지","* 결과는 riskLevel(LOW/MID/HIGH), reason, suggestion으로 반환 *",,
기능,REQ-AI-003,AI,위험 탐지,채팅 탐지,채팅 메시지 위험 문구 실시간 탐지,"- 채팅 메시지 발송 시 실시간으로 위험 표현 탐지, 발송자에게 경고 메시지 표시
- AI 생성 이미지 기반 사기 패턴도 탐지 대상에 포함 (고도화)",,,
기능,REQ-AI-004,AI,위험 탐지,재검사,위험 탐지 배치 재검사,- 신고 누적 게시글 및 미검사 콘텐츠를 주기적으로 Spring AI 재분석,* 결과는 RiskAnalysisResult 테이블에 저장 *,,
기능,REQ-ADM-001,관리자,회원,회원 관리,"관리자 회원 
조회·정지·탈퇴 처리","- 관리자는 회원 목록 조회, 상세 조회, 이용 정지, 강제 탈퇴 처리 가능",,,
기능,REQ-ADM-002,관리자,게시글,게시글 관리,관리자 게시글 조회·숨김·삭제,- 신고된 게시글을 포함한 전체 게시글 조회 및 숨김·삭제 처리 가능,,,
기능,REQ-ADM-003,관리자,신고,신고 관리,신고 내역 검토 및 처리,"- 신고 접수 목록 조회하고 정상, 주의, 삭제 조치
- AI 위험 탐지 결과와 연계하여 검토",,,
기능,REQ-ADM-004,관리자,경매,경매 심사,유니폼 경매 심사·승인·반려,"- 경매 신청 목록 조회, 증빙 자료 확인하여 승인 또는 반려 처리
- 승인 시 비공개 상한가, 경매 시간, 입찰 자격 설정",,,
기능,REQ-ADM-005,관리자,정산,출금 관리,"출금 요청 
승인·반려·완료 처리","- 판매자의 출금 요청 목록 조회 후 승인, 반려, 완료(수동 송금 확인) 처리",,,
기능,REQ-ADM-006,관리자,분쟁,분쟁 관리,거래 분쟁 검토 및 처리,"- 이의제기(DISPUTED) 상태 거래 조회
- 구매자·판매자 채팅 내역 및 거래 정보를 바탕으로 환불 또는 거래 완료 처리 결정",,,
기능,REQ-BAT-001,Spring Batch,정산,포인트 정산,판매자 포인트 정산 Batch,"- 구매 확정 완료 거래를 추출하여 플랫폼 수수료 계산
- 판매자 PointWallet에 포인트 지급
- tradeId unique 제약으로 중복 지급을 방지한다.",,,
기능,REQ-BAT-002,Spring Batch,정산,자동 구매 확정,"미확정 거래
자동 구매 확정 Batch",- 배송 완료 후 일정 기간(5일) 내 구매자가 구매 확정을 하지 않으면 자동으로 구매 확정 처리,,,
기능,REQ-BAT-003,Spring Batch,집계,인기 집계,"지역별 인기글·
인기상품 집계 Batch",- 최근 24시간 조회수·찜·채팅·댓글 수 기반으로 지역별 랭킹 계산,* 결과는 Redis 또는 Ranking 테이블에 저장 *,,
기능,REQ-BAT-004,Spring Batch,위험 탐지,재검사 Batch,위험 탐지 재검사 Batch,"- 신고 누적 게시글·채팅 및 미검사 콘텐츠를 대상으로 Spring AI 위험도 재분석 실행, 결과 저장",,,
비기능,REQ-NFR-P01,성능,응답 시간,API 응답 시간,일반 API 응답 시간 기준,"- 일반 조회 API(피드, 검색, 상세)는 평균 응답 시간 200ms 이하 목표
- 복잡한 필터 검색은 500ms 이하 목표",,,
비기능,REQ-NFR-P02,성능,실시간,WebSocket 지연,"실시간 채팅 및 
경매 메시지 지연",- WebSocket 기반 채팅 및 경매 입찰 메시지는 1초 이내 전달 목표,,,
비기능,REQ-NFR-P03,성능,캐시,Redis 캐시 활용,인기글·랭킹 데이터 캐시,"- 지역별 인기글, 인기 상품 랭킹은 Redis에 캐시하여 DB 부하 줄임
- TTL은 1시간으로 설정",,,
비기능,REQ-NFR-P04,성능,이미지,이미지 최적화,"업로드 이미지 용량 제한
 및 최적화","- 이미지 업로드 시 장당 최대 10MB 제한
- S3 또는 R2에 저장 시 WebP 변환 권장",,,
비기능,REQ-NFR-S01,보안,인증,JWT 보안,JWT 토큰 보안 관리,"- Access Token 유효 기간 30분, Refresh Token은 7일로 설정
- Refresh Token은 Redis에 저장하며 탈취 방지를 위해 Rotation 정책 적용",,,
